(3 0),R,(3 0),0.8
(3 0),R,(3 0),0.1
(3 0),R,(3 1),0.1
(3 0),U,(3 1),0.8
(3 0),U,(3 0),0.1
(3 0),U,(2 0),0.1
(3 0),D,(3 0),0.8
(3 0),D,(2 0),0.1
(3 0),D,(3 0),0.1
(3 0),L,(2 0),0.8
(3 0),L,(3 1),0.1
(3 0),L,(3 0),0.1
(3 1),EXIT,(3 1),0.0
(1 0),R,(2 0),0.8
(1 0),R,(1 0),0.1
(1 0),R,(1 0),0.1
(1 0),U,(1 0),0.8
(1 0),U,(2 0),0.1
(1 0),U,(0 0),0.1
(1 0),D,(1 0),0.8
(1 0),D,(0 0),0.1
(1 0),D,(2 0),0.1
(1 0),L,(0 0),0.8
(1 0),L,(1 0),0.1
(1 0),L,(1 0),0.1
(2 1),R,(3 1),0.8
(2 1),R,(2 0),0.1
(2 1),R,(2 2),0.1
(2 1),U,(2 2),0.8
(2 1),U,(3 1),0.1
(2 1),U,(2 1),0.1
(2 1),D,(2 0),0.8
(2 1),D,(2 1),0.1
(2 1),D,(3 1),0.1
(2 1),L,(2 1),0.8
(2 1),L,(2 2),0.1
(2 1),L,(2 0),0.1
(1 2),R,(2 2),0.8
(1 2),R,(1 2),0.1
(1 2),R,(1 2),0.1
(1 2),U,(1 2),0.8
(1 2),U,(2 2),0.1
(1 2),U,(0 2),0.1
(1 2),D,(1 2),0.8
(1 2),D,(0 2),0.1
(1 2),D,(2 2),0.1
(1 2),L,(0 2),0.8
(1 2),L,(1 2),0.1
(1 2),L,(1 2),0.1
(2 0),R,(3 0),0.8
(2 0),R,(2 0),0.1
(2 0),R,(2 1),0.1
(2 0),U,(2 1),0.8
(2 0),U,(3 0),0.1
(2 0),U,(1 0),0.1
(2 0),D,(2 0),0.8
(2 0),D,(1 0),0.1
(2 0),D,(3 0),0.1
(2 0),L,(1 0),0.8
(2 0),L,(2 1),0.1
(2 0),L,(2 0),0.1
(3 2),EXIT,(3 2),0.0
(2 2),R,(3 2),0.8
(2 2),R,(2 1),0.1
(2 2),R,(2 2),0.1
(2 2),U,(2 2),0.8
(2 2),U,(3 2),0.1
(2 2),U,(1 2),0.1
(2 2),D,(2 1),0.8
(2 2),D,(1 2),0.1
(2 2),D,(3 2),0.1
(2 2),L,(1 2),0.8
(2 2),L,(2 2),0.1
(2 2),L,(2 1),0.1
(0 1),R,(0 1),0.8
(0 1),R,(0 0),0.1
(0 1),R,(0 2),0.1
(0 1),U,(0 2),0.8
(0 1),U,(0 1),0.1
(0 1),U,(0 1),0.1
(0 1),D,(0 0),0.8
(0 1),D,(0 1),0.1
(0 1),D,(0 1),0.1
(0 1),L,(0 1),0.8
(0 1),L,(0 2),0.1
(0 1),L,(0 0),0.1
(0 0),R,(1 0),0.8
(0 0),R,(0 0),0.1
(0 0),R,(0 1),0.1
(0 0),U,(0 1),0.8
(0 0),U,(1 0),0.1
(0 0),U,(0 0),0.1
(0 0),D,(0 0),0.8
(0 0),D,(0 0),0.1
(0 0),D,(1 0),0.1
(0 0),L,(0 0),0.8
(0 0),L,(0 1),0.1
(0 0),L,(0 0),0.1
(0 2),R,(1 2),0.8
(0 2),R,(0 1),0.1
(0 2),R,(0 2),0.1
(0 2),U,(0 2),0.8
(0 2),U,(1 2),0.1
(0 2),U,(0 2),0.1
(0 2),D,(0 1),0.8
(0 2),D,(0 2),0.1
(0 2),D,(1 2),0.1
(0 2),L,(0 2),0.8
(0 2),L,(0 2),0.1
(0 2),L,(0 1),0.1
